Name,Nickname,Weight Class,Record,Knockouts,Submissions,First Round Finishes,,,,,,,,,,,,,,,,,,,,,,,,,,
Asjabharan _,None,Bantamweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Angga -,None,Featherweight Division,0-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny Abbadi,"""The Assassin""",Lightweight Division,2-2-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nariman Abbassov,None,Lightweight Division,0-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tank Abbott,"""Tank""",Heavyweight Division,8-10-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamdy Abdelwahab,"""The Hammer""",Heavyweight Division,5-0-0 (W-L-D),5,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Shamil Abdurakhimov,"""Abrek""",Heavyweight Division,20-8-0 (W-L-D),9,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Daichi Abe,None,Welterweight Division,6-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Papy Abedi,"""Makambo""",Middleweight Division,9-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Klidson Abreu,"""White Bear""",Light Heavyweight Division,15-4-0 (W-L-D),4,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricardo Abreu,"""Demente""",Middleweight Division,5-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
John Adajar,None,Welterweight Division,0-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Adams,"""The Kraken""",Heavyweight Division,5-3-0 (W-L-D),5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Adams,None,Middleweight Division,8-2-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Adams,None,Heavyweight Division,6-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Zarrukh Adashev,"""The Lion""",Flyweight Division,4-4-0 (W-L-D),2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel Adesanya,"""The Last Stylebender""",Middleweight Division,23-2-0 (W-L-D),15,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Adkins,None,Light Heavyweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Agallar,None,Lightweight Division,12-3-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariya Agapova,"""Demonslayer""",Flyweight Division,10-4-0 (W-L-D),3,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabio Agu,None,Middleweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcello Aguiar,None,Welterweight Division,0-0-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Aguilar,"""Angel of Death""",Featherweight Division,17-5-0 (W-L-D),9,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jessica Aguilar,"""Jag""",Women's Strawweight Division,20-8-0 (W-L-D),3,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesus Aguilar,None,Flyweight Division,8-2-0 (W-L-D),0,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Aguilera,"""The Beast""",Welterweight Division,14-8-0 (W-L-D),11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Aguirre,"""Slick """,Featherweight Division,7-1-0 (W-L-D),3,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashiek Ajim,None,Bantamweight Division,0-1-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Omari Akhmedov,"""Wolverine""",Middleweight Division,21-6-1 (W-L-D),7,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Yoshihiro Akiyama,"""Sexyama""",Welterweight Division,15-6-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rostem Akman,None,Welterweight Division,0-2-0 (W-L-D),5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mostapha Al Turk,None,Heavyweight Division,6-6-0 (W-L-D),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
